mlb_player_id,full_name,birth_date,primary_position,current_team,level,pa,ab,h,doubles,triples,hr,bb,so,sb,pa_weighted,ab_weighted,h_weighted,doubles_weighted,triples_weighted,hr_weighted,bb_weighted,so_weighted,sb_weighted,milb_pa,raw_pa,total_ab,raw_ab,total_h,raw_h,total_doubles,raw_doubles,total_triples,raw_triples,total_hr,raw_hr,total_bb,raw_bb,total_so,raw_so,total_sb,raw_sb,highest_level,milb_avg,obp,tb,slg,milb_ops,milb_iso,milb_bb_rate,milb_k_rate,hr_rate,xbh_rate,barrel_pct,barrel_source,milb_age,level_factor,age_factor,pred_mlb_ops,pred_mlb_wrc_plus,barrel_boost,v4_score,level_quality,is_young,is_elite_age,age_squared,age_gap,ops_x_level,iso_x_level,bb_rate_x_level,projected_mlb_wrc_plus,v5_age_factor,v5_score,v4_normalized,v5_normalized,v6_score,mlb_pa,rank
829035,Andrew Salas,2008-03-04,SS,0,A,453,371,69,9,2,3,72,110,39.0,453.0,371.0,69.0,9.0,2.0,3.0,72.0,110.0,39.0,453.0,453,371.0,371,69.0,69,9.0,9,2.0,2,3.0,3,72.0,72,110.0,110,39.0,39.0,A,0.18598382749326145,0.31125827814569534,91.0,0.24528301886792453,0.5565412970136199,0.05929919137466308,0.15894039735099338,0.24282560706401765,0.006622516556291391,0.03773584905660377,8.590263095238099,,17.596167008898014,0.6,4.6366309336771865,0.3339247782081719,60.0,1.04,289.32577026145646,0.5,1,1,309.6250934050309,1,0.27827064850680994,0.02964959568733154,0.07947019867549669,87.66628430337938,5.7193476588633665,501.3939578917832,93.36345023267249,100.0,95.35441516287074,0.0,1
815908,Jesús Made,2007-05-08,SS,0,A+,147,131,43,7,3,2,14,30,7.0,147.0,131.0,43.0,7.0,3.0,2.0,14.0,30.0,7.0,147.0,147,131.0,131,43.0,43,7.0,7,3.0,3,2.0,2,14.0,14,30.0,30,7.0,7.0,AA,0.3282442748091603,0.3877551020408163,62.0,0.4732824427480916,0.8610375447889079,0.14503816793893132,0.09523809523809523,0.20408163265306123,0.013605442176870748,0.0916030534351145,3.399122803464806,,18.420260095824776,0.8,3.4544700221948217,0.6888300358311263,89.70750895778158,1.0,309.8919004604299,0.85,1,1,339.3059819978346,1,0.7318819130705717,0.12328244274809162,0.08095238095238094,87.27233848235048,4.113266651207709,358.97439945236346,100.0,71.59527828411557,91.47858348523467,0.0,2
821181,Juneiker Caceres,2007-08-15,OF,0,A,130,116,29,8,0,1,9,17,2.0,130.0,116.0,29.0,8.0,0.0,1.0,9.0,17.0,2.0,130.0,130,116.0,116,29.0,29,8.0,8,0.0,0,1.0,1,9.0,9,17.0,17,2.0,2.0,A,0.25,0.2923076923076923,40.0,0.3448275862068966,0.637135278514589,0.09482758620689657,0.06923076923076923,0.13076923076923078,0.007692307692307693,0.07758620689655173,1.92535450937951,,18.1492128678987,0.6,3.805592260465541,0.3822811671087534,60.0,1.0,228.33553562793247,0.5,1,1,329.3939277242998,1,0.3185676392572945,0.04741379310344829,0.03461538461538462,87.3685204440724,4.584295357652691,400.5231026767453,73.6823180240197,79.88191647957412,75.54219756068602,0.0,3
821136,Handelfry Encarnacion,2007-06-08,OF,0,A,114,103,16,4,1,0,10,22,0.0,114.0,103.0,16.0,4.0,1.0,0.0,10.0,22.0,0.0,114.0,114,103.0,103,16.0,16,4.0,4,1.0,1,0.0,0,10.0,10,22.0,22,0.0,0.0,A,0.1553398058252427,0.22807017543859648,22.0,0.21359223300970873,0.4416624084483052,0.05825242718446602,0.08771929824561403,0.19298245614035087,0.0,0.04854368932038835,9.004024206349207,,18.33538672142368,0.6,3.560784801536105,0.2649974450689831,60.0,1.04,222.19297161585297,0.5,1,1,336.18640622415984,1,0.2208312042241526,0.02912621359223301,0.043859649122807015,86.44288100810596,4.255306822939145,367.8409813483099,71.70015456542234,73.36366455131909,72.19920756119136,0.0,4
821379,Juan Mateo,2007-05-22,SS,0,A,135,119,28,4,0,0,12,32,4.0,135.0,119.0,28.0,4.0,0.0,0.0,12.0,32.0,4.0,135.0,135,119.0,119,28.0,28,4.0,4,0.0,0,0.0,0,12.0,12,32.0,32,4.0,4.0,A,0.23529411764705882,0.2962962962962963,32.0,0.2689075630252101,0.5652038593215063,0.03361344537815125,0.08888888888888889,0.23703703703703705,0.0,0.03361344537815126,8.300430555555558,,18.38193018480493,0.6,3.502084297940813,0.3391223155929038,60.0,1.04,218.53006019150675,0.5,1,1,337.8953573190426,1,0.28260192966075315,0.016806722689075626,0.044444444444444446,86.96618742765126,4.176817040367045,363.24185358356806,70.51815806312462,72.44639626510362,71.09662952371832,0.0,5
815894,Jorge Quintana,2007-04-05,SS,0,A,101,83,16,3,0,1,15,34,7.0,101.0,83.0,16.0,3.0,0.0,1.0,15.0,34.0,7.0,101.0,101,83.0,83,16.0,16,3.0,3,0.0,0,1.0,1,15.0,15,34.0,34,7.0,7.0,A,0.1927710843373494,0.3069306930693069,22.0,0.26506024096385544,0.5719909340331624,0.07228915662650603,0.1485148514851485,0.33663366336633666,0.009900990099009901,0.04819277108433735,9.219557142857147,,18.510609171800137,0.6,3.344782014439605,0.34319456041989743,60.0,1.04,208.71439770103137,0.5,1,1,342.64265191113134,1,0.2859954670165812,0.03614457831325302,0.07425742574257425,87.52012848216637,3.9672687596346154,347.21587156650634,67.35071080945599,69.25011083628706,67.92053081750531,0.0,6
804606,Konnor Griffin,2006-04-24,SS,0,A+,332,277,91,13,2,12,35,69,39.0,332.0,277.0,91.0,13.0,2.0,12.0,35.0,69.0,39.0,332.0,332,277.0,277,91.0,91,13.0,13,2.0,2,12.0,12,35.0,35,69.0,69,39.0,39.0,AA,0.3285198555956679,0.3795180722891566,144.0,0.51985559566787,0.8993736679570266,0.1913357400722021,0.10542168674698796,0.20783132530120482,0.03614457831325301,0.09747292418772563,7.147088059144897,,19.457905544147845,0.8,2.384719222258842,0.7194989343656213,97.37473359140532,1.0,232.21139895775804,0.85,1,1,378.61008816497946,1,0.7644676177634726,0.1626353790613718,0.08960843373493976,87.97995917828689,2.7159976355556337,238.95336110450836,74.93303265194862,47.657806270589745,66.75046473754095,0.0,7
821041,Roldy Brito,2007-04-08,3B,0,A,156,136,51,7,1,1,14,27,13.0,156.0,136.0,51.0,7.0,1.0,1.0,14.0,27.0,13.0,156.0,156,136.0,136,51.0,51,7.0,7,1.0,1,1.0,1,14.0,14,27.0,27,13.0,13.0,A,0.375,0.4166666666666667,63.0,0.4632352941176471,0.8799019607843137,0.08823529411764708,0.08974358974358974,0.17307692307692307,0.00641025641025641,0.0661764705882353,1.5084319083694087,,18.50239561943874,0.6,3.3546080415032313,0.5279411764705882,60.0,1.0,201.27648249019387,0.5,1,1,342.33864365822586,1,0.43995098039215685,0.04411764705882354,0.04487179487179487,88.562092456187,3.980324342309109,352.50585240919105,64.95054636508478,70.30516560099295,66.55693213585722,0.0,8
815929,Jhonny Level,2007-03-29,SS,0,A,147,127,30,2,1,3,17,30,4.0,147.0,127.0,30.0,2.0,1.0,3.0,17.0,30.0,4.0,147.0,147,127.0,127,30.0,30,2.0,2,1.0,1,3.0,3,17.0,17,30.0,30,4.0,4.0,A,0.23622047244094488,0.3197278911564626,43.0,0.33858267716535434,0.6583105683218169,0.10236220472440946,0.11564625850340136,0.20408163265306123,0.02040816326530612,0.047244094488188976,0.9110571067821066,,18.529774127310063,0.6,3.321966400519054,0.3949863409930901,60.0,1.0,199.31798403114325,0.5,1,1,343.3525292091294,1,0.32915528416090845,0.05118110236220473,0.05782312925170068,87.35634219972398,3.9369720234164935,343.91947530831095,64.31855228710445,68.5926644896945,65.60078594788146,0.0,9
815888,Leo De Vries,2006-10-11,SS,0,A,896,754,187,50,11,26,116,191,24.0,842.0,709.15,176.35,46.7,10.55,24.35,108.5,178.39999999999998,22.049999999999997,842.0,896,709.15,754,176.35,187,46.7,50,10.55,11,24.35,26,108.5,116,178.39999999999998,191,22.049999999999997,24.0,AA,0.24867799478248606,0.3383016627078385,317.20000000000005,0.44729605866177824,0.7855977213696168,0.19861806387929218,0.12885985748218529,0.21187648456057004,0.028919239904988125,0.11506733413241203,6.114997117599433,,18.99247091033539,0.8,2.8159735509315347,0.6284781770956935,74.61954427392338,1.0,210.1266630579329,0.85,1,1,360.71395127993594,1,0.6677580631641743,0.16882535429739834,0.10953087885985749,88.0651463902405,3.271776771879022,288.1295003717146,67.8064391956459,57.465690568593196,64.70421460753008,0.0,10
