mlb_player_id,full_name,birth_date,primary_position,current_team,highest_level,milb_pa,total_ab,total_h,total_doubles,total_triples,total_hr,total_bb,total_so,total_sb,mlb_pa,avg_ev,max_ev,hard_hit_pct,barrel_pct,milb_avg,obp,tb,slg,milb_ops,milb_iso,milb_bb_rate,milb_k_rate,milb_age,level_quality,is_young,is_elite_age,age_squared,age_gap,ops_x_level,iso_x_level,bb_rate_x_level,projected_mlb_wrc_plus,projected_mlb_ops,projected_mlb_iso,projected_mlb_obp,projected_mlb_slg,current_age,age_factor,prospect_value,sc_boost,rank
829035,Andrew Salas,2008-03-04,SS,0,A,453,371,69,9,2,3,72,110,39.0,0,86.93043113275613,101.84809294871795,26.53876479076478,8.590263095238099,0.18598382749326145,0.31125827814569534,91,0.24528301886792453,0.5565412970136199,0.05929919137466308,0.15894039735099338,0.24282560706401765,17.596167008898014,0.5,1,1,309.6250934050309,1,0.27827064850680994,0.02964959568733154,0.07947019867549669,87.6662843033794,0.673947268766796,0.142464267814938,0.29509241622616733,0.3561874597927629,17.596167008898014,5.7193476588633665,501.39395789178326,1.0,1
821181,Juneiker Caceres,2007-08-15,OF,0,A,130,116,29,8,0,1,9,17,2.0,0,83.9194318277924,103.66384408646907,26.460115823065816,1.92535450937951,0.25,0.2923076923076923,40,0.3448275862068966,0.637135278514589,0.09482758620689657,0.06923076923076923,0.13076923076923078,18.1492128678987,0.5,1,1,329.3939277242998,1,0.3185676392572945,0.04741379310344829,0.03461538461538462,87.36852044407239,0.6501106656157964,0.11841260269962492,0.2907135359422416,0.3769537760577602,18.1492128678987,4.584295357652691,400.5231026767452,1.0,2
815894,Jorge Quintana,2007-04-05,SS,0,A,101,83,16,3,0,1,15,34,7.0,0,89.28222882395382,101.38914168054167,40.30125139027639,9.219557142857147,0.1927710843373494,0.3069306930693069,22,0.26506024096385544,0.5719909340331624,0.07228915662650603,0.1485148514851485,0.33663366336633666,18.510609171800137,0.5,1,1,342.64265191113134,1,0.2859954670165812,0.03614457831325302,0.07425742574257425,87.52012848216637,0.6608660244858564,0.12885270291744946,0.2929430659142107,0.34655498555692066,18.510609171800137,3.9672687596346154,393.74279835641823,1.1340000000000001,3
821136,Handelfry Encarnacion,2007-06-08,OF,0,A,114,103,16,4,1,0,10,22,0.0,0,88.60103813131313,104.51900386002885,31.682853519851793,9.004024206349207,0.1553398058252427,0.22807017543859648,22,0.21359223300970873,0.4416624084483052,0.05825242718446602,0.08771929824561403,0.19298245614035087,18.33538672142368,0.5,1,1,336.18640622415984,1,0.2208312042241526,0.02912621359223301,0.043859649122807015,86.44288100810596,0.6767055999512256,0.145089733975869,0.2771011912956759,0.37575961565412846,18.33538672142368,4.255306822939145,386.2330304157254,1.05,4
821379,Juan Mateo,2007-05-22,SS,0,A,135,119,28,4,0,0,12,32,4.0,0,86.8848278860029,102.79805108502609,28.226040424613693,8.300430555555558,0.23529411764705882,0.2962962962962963,32,0.2689075630252101,0.5652038593215063,0.03361344537815125,0.08888888888888889,0.23703703703703705,18.38193018480493,0.5,1,1,337.8953573190426,1,0.28260192966075315,0.016806722689075626,0.044444444444444446,86.96618742765128,0.6676578812439535,0.1400974869717147,0.28479687393604824,0.3575474994229598,18.38193018480493,4.176817040367045,363.2418535835681,1.0,5
815908,Jesús Made,2007-05-08,SS,0,AA,147,131,43,7,3,2,14,30,7.0,0,85.55506686912126,104.02556982797901,30.53263523809524,3.399122803464806,0.3282442748091603,0.3877551020408163,62,0.4732824427480916,0.8610375447889079,0.14503816793893132,0.09523809523809523,0.20408163265306123,18.420260095824776,0.85,1,1,339.3059819978346,1,0.7318819130705717,0.12328244274809162,0.08095238095238094,87.27233848235048,0.6715386451555196,0.11205740444388898,0.28929909532868414,0.3534283542982294,18.420260095824776,4.113266651207709,358.97439945236346,1.0,6
821041,Roldy Brito,2007-04-08,3B,0,A,156,136,51,7,1,1,14,27,13.0,0,83.09987755434526,103.3100269147519,23.158038949938952,1.5084319083694087,0.375,0.4166666666666667,63,0.4632352941176471,0.8799019607843137,0.08823529411764708,0.08974358974358974,0.17307692307692307,18.50239561943874,0.5,1,1,342.33864365822586,1,0.43995098039215685,0.04411764705882354,0.04487179487179487,88.562092456187,0.6972220956707309,0.09181087756204451,0.3082660655321619,0.3753095801413513,18.50239561943874,3.980324342309109,352.50585240919105,1.0,7
815929,Jhonny Level,2007-03-29,SS,0,A,147,127,30,2,1,3,17,30,4.0,0,84.97395572046882,102.79045289155287,19.049906755505027,0.9110571067821066,0.23622047244094488,0.3197278911564626,43,0.33858267716535434,0.6583105683218169,0.10236220472440946,0.11564625850340136,0.20408163265306123,18.529774127310063,0.5,1,1,343.3525292091294,1,0.32915528416090845,0.05118110236220473,0.05782312925170068,87.356342199724,0.6450547761834042,0.1326850465931645,0.2905344441135882,0.36589961299068624,18.529774127310063,3.9369720234164935,343.919475308311,1.0,8
828589,Max Durrington,2007-02-13,IF,0,A,197,173,39,4,0,2,19,33,6.0,0,84.71307624694145,103.4529547370028,21.922752129575407,1.703926984126984,0.2254335260115607,0.29441624365482233,49,0.2832369942196532,0.5776532378744755,0.05780346820809251,0.09644670050761421,0.16751269035532995,18.650239561943874,0.5,1,1,347.8314357178964,1,0.28882661893723777,0.028901734104046256,0.048223350253807105,87.40952660316324,0.6627838691302769,0.1332285256167166,0.2913165676935772,0.3628772742985912,18.650239561943874,3.7517625091899056,327.93978485578555,1.0,9
815931,Yolfran Castillo,2007-02-08,SS,0,A,120,106,27,5,1,0,10,17,11.0,0,83.40506077945352,102.18191022588522,23.713517624042616,1.267408333333333,0.25471698113207547,0.30833333333333335,34,0.32075471698113206,0.6290880503144654,0.06603773584905659,0.08333333333333333,0.14166666666666666,18.663928815879533,0.5,1,1,348.3422388442184,1,0.3145440251572327,0.033018867924528295,0.041666666666666664,87.70866499469193,0.6652274398957301,0.11348615785175262,0.29571566168664576,0.37219607600532145,18.663928815879533,3.731275119916867,327.26515949581744,1.0,10
