MLB_ID,Name,Organization,Position,Rank,Has_2025_PBP,Has_2025_Pitch,Has_2024_PBP,Has_2024_Pitch,Has_Any_PBP,Has_Any_Pitch
806957,Alfredo Duno,CIN,C,11,True,False,False,False,True,False
806956,Ethan Salas,SDP,C,24,True,False,True,True,True,True
806953,Eduardo Tait,MIN,C,32,True,False,False,False,True,False
804109,Aiva Arquette,MIA,SS,49,True,False,False,False,True,False
806071,Jonny Farmelo,SEA,CF,51,True,False,False,False,True,False
695670,Harry Ford,SEA,C,107,True,False,False,False,True,False
800306,Jansel Luis,ARI,SS,109,True,False,False,False,True,False
800050,Chase DeLauter,CLE,RF,121,True,False,False,False,True,False
701339,Marek Houston,MIN,SS,131,True,False,False,False,True,False
805127,Devin Taylor,ATH,LF,139,True,False,False,False,True,False
702540,Mikey Romero,BOS,3B,145,True,False,False,False,True,False
800060,Xavier Isaac,TBR,1B,170,True,False,True,True,True,True
806611,Jancel Villarroel,HOU,DH,224,True,False,False,False,True,False
805804,George Wolkow,CHW,1B,252,True,False,False,False,True,False
800433,Elis Cuevas,BAL,CF,253,True,False,False,False,True,False
703156,Tony Blanco Jr.,PIT,1B,302,True,False,False,False,True,False
695573,Cole Mathis,CHC,1B,334,True,False,False,False,True,False
800188,Dario Laverde,LAA,C,354,True,False,False,False,True,False
806230,Sammy Stafura,PIT,SS,433,True,False,False,False,True,False
823807,Kane Kepley,CHC,CF,466,True,False,False,False,True,False
701337,Ethan Petry,WSN,1B,535,True,False,False,False,True,False
692044,Luis Suisbel,SEA,3B,751,True,False,True,True,True,True
801501,Nate Furman,SFG,2B,906,True,False,False,False,True,False
702517,Mason White,BOS,SS,1171,True,False,False,False,True,False
800208,Axiel Plaz,PIT,C,1287,True,False,False,False,True,False
689070,Spencer Packard,SEA,LF,1455,True,False,False,False,True,True
703676,Ethan  Frey,HOU,DH,1471,True,False,False,False,True,False
691191,Jose Salas,MIN,2B,1481,True,False,False,False,True,True
688460,Josh Kasevich,TOR,SS,1498,True,False,True,True,True,True
800209,Estuar Suero,PIT,CF,1548,True,False,False,False,True,False
800387,Fernando Peguero,BAL,CF,1550,True,False,True,True,True,True
800516,Alberto Hernandez,HOU,SS,1563,True,False,False,False,True,False
703602,Jalin Flores,STL,SS,1574,True,False,False,False,True,False
801126,Brock Rodden,SEA,2B,1641,True,False,True,True,True,True
812430,Heriberto Caraballo,STL,C,1648,True,False,False,False,True,False
680253,Kyle Bischoff,MIN,DH,1652,True,False,False,False,True,False
691739,Will Sanders,CHC,SP,1710,True,False,False,False,True,False
814450,Wehiwa Aloy,BAL,SS,1740,True,False,False,False,True,False
701360,Chris Arroyo,MIA,RF,1742,True,False,False,False,True,False
702720,RJ Austin,BAL,CF,1743,True,False,False,False,True,False
803284,Max Belyeu,COL,RF,1744,True,False,False,False,True,False
703448,Cam Cannarella,MIA,CF,1746,True,False,False,False,True,False
702656,Drew Faurot,MIA,2B,1754,True,False,False,False,True,False
813668,Jack Gurevitch,STL,1B,1756,True,False,False,False,True,False
702610,Ike Irish,BAL,C,1761,True,False,False,False,True,False
702563,Mason Neville,CIN,CF,1768,True,False,False,False,True,False
702491,Mitch Voit,NYM,2B,1778,True,False,False,False,True,False
703637,Max Williams,MIA,RF,1780,True,False,False,False,True,False
